"","year","value"
"1","2011",0.107535708422262
"2","2012",0.0929357266936885
"3","2013",0.0855442460648534
"4","2014",0.0647441860465116
"5","2015",0.0623162506485271
"6","2016",0.048385499207607
"7","2017",0.0558104852586899
"8","2018",0.055852009960868
