"","year","tobaccorate","ecigrate","cigarrate","smklsrate"
"1",2006,13.2084095063985,0,6.69561243144424,2.28519195612431
"2",2008,15.6875459300566,0,10.4915056412917,6.30268447672157
"3",2010,10.7042253521127,0,6.37826961770624,3.05835010060362
"4",2012,9.9207302426135,0,7.75882776843622,4.85226999759789
"5",2014,6.20705451213926,8.74942739349519,4.00824553366926,3.20659642693541
"6",2016,4.17871222076216,16.4257555847569,2.99605781865966,1.94480946123522
"7",2018,4.27760803142732,23.1121780881711,3.33915320820602,2.0733304233959
