"","year","tobaccoratestate","tobaccoratecity"
"1",2006,13.8496583143508,12.5630444750115
"2",2008,16.0670159138084,13.0389789582615
"3",2010,12.4024284475282,9.23423423423423
"4",2012,11.7401392111369,7.96812749003984
"5",2014,8.08656036446469,4.94252873563218
"6",2016,4.07017543859649,4.2436974789916
"7",2018,4.74516695957821,3.81613183000867
